	level_0	index	font-family	font-size	color	left	top	language	text	innerWidth	innerHeight	link	boxID	width	manga	page_width	page_height	id	font-weight	margin	text-align	-webkit-writing-mode	-webkit-text-orientation
11	1	11	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	559.0	95.0	en	AREN'T YOU AMAZED BY IT?	109	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-3	1	109.0	Doraemon_Long_Stories	800	1288	1					
12	2	12	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	266.0	102.0	en	NOT AT ALL	105	50	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-3	2	105.0	Doraemon_Long_Stories	800	1288	1					
13	3	13	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	688.0	367.0	en	"WHAT'S WITH ""NOT AT ALL""?"	93	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-3	3	93.0	Doraemon_Long_Stories	800	1288	1					
14	4	14	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	579.0	393.0	en	YOU'RE LYING!	97	50	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-3	4	97.0	Doraemon_Long_Stories	800	1288	1					
15	5	15	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	198.0	376.0	en	IF YOU'RE AMAZED, SAY YOU'RE AMAZED. IF YOU'RE JEALOUS, SAY YOU'RE JEALOUS. DON'T MAKE THINGS COMPLICATED!	221	126	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-3	5	221.0	Doraemon_Long_Stories	800	1288	1					
16	6	16	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	66.0	370.0	en	THAT'S WHY I TOLD YOU I'M NOT JEALOUS AT ALL	112	126	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-3	6	112.0	Doraemon_Long_Stories	800	1288	1					
17	7	17	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	441.0	903.0	en	WHAT WAS THAT!? IT WAS JUST A TOY AFTER ALL!	157	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-3	8	157.0	Doraemon_Long_Stories	800	1288	1					
18	8	18	 anime-ace, sans-serif	13.0	[' 0', '0', '0']	253.0	915.0	en	WHY DO I HAVE TO BE JEALOUS OVER THAT STUPID THING?	159	76	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-3	9	159.0	Doraemon_Long_Stories	800	1288	1					
19	9	19	 dom, sans-serif	30.0	[' 0', '0', '0']	673.0	655.0	en	ATTACK!	116	51	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-3	7	116.0	Doraemon_Long_Stories	800	1288	1					
0	0	0	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	348.0	137.0	jp	"スネ
夫
お
を
ギャフンと
いわせ
たい"	126	112	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	0		Doraemon_Long_Stories	800	1288	2					
1	1	1	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	189.0	133.0	jp	"ビルみたいに
でっかい
ロボット
だして"	116	132	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	1		Doraemon_Long_Stories	800	1288	2					
2	2	2	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	600.0	404.0	jp	"きがるに
いって
くれる
なぁ"	116	92	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	2		Doraemon_Long_Stories	800	1288	2					
3	3	3	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	266.0	404.0	jp	"そんな
でっかい
ロポットが
いったい
いくらする
と
思
おも
って
んだ！"	204	112	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	3		Doraemon_Long_Stories	800	1288	2					
4	4	4	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	31.0	423.0	jp	"ったくもう
…………
ただでさえ
この
暑
あつ
さに
ゲンナリ…"	152	112	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	4		Doraemon_Long_Stories	800	1288	2					
5	5	5	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	267.0	676.0	jp	"すずみに
いって
くる"	90	92	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	5		Doraemon_Long_Stories	800	1288	2					
6	6	6	 yasashisa-antique, sans-serif	20.0	[' 0', '0', '0']	91.0	677.0	jp	"きみは
夏
なつ
休
やす
みの
宿題
しゅくだい
でも
して
ろ！"	162	102	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-4	6		Doraemon_Long_Stories	800	1288	2					
