	level_0	index	font-family	font-size	color	left	top	language	text	innerWidth	innerHeight	link	boxID	width	manga	page_width	page_height	id	font-weight	margin	text-align	-webkit-writing-mode	-webkit-text-orientation
4	4	4	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	352.0	863.0	jp	"ドラえもん
早
はや
く
帰
かえ
って
こないかな"	103	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	4		Doraemon_Long_Stories	800	1301	7					
5	0	5	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	428.0	374.0	en	WHAT WAS THAT NOISE!?	98	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	0	98.0	Doraemon_Long_Stories	800	1301	7					
6	1	6	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	640.0	682.0	en	I'VE BROUGHT THIS THING WITH ME, BUT	127	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	2	127.0	Doraemon_Long_Stories	800	1301	7					
7	2	7	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	440.0	649.0	en	WHAT IS THIS MACHINE, REALLY?	105	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	3	105.0	Doraemon_Long_Stories	800	1301	7					
8	3	8	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	346.0	864.0	en	DORAEMON, PLEASE COME HOME SOON	116	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	4	116.0	Doraemon_Long_Stories	800	1301	7					
9	4	9	 anime-ace, sans-serif	13.0	[' 0', '0', '0']	101.0	370.0	en	IT WAS NOTHING. DON'T WORRY ABOUT IT	133	76	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-9	1	133.0	Doraemon_Long_Stories	800	1301	7					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	43.0	144.0	jp	"また
だ！"	66	54	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-10	0		Doraemon_Long_Stories	800	1271	8					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	626.0	673.0	jp	"庭
にわ
に
おちる
ぞ！"	103	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-10	1		Doraemon_Long_Stories	800	1271	8					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	372.0	934.0	jp	"さっきの
とは
ちがうぞ
………"	120	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-10	2		Doraemon_Long_Stories	800	1271	8					
3	3	3	 yasashisa-antique, sans-serif	30.0	[' 0', '0', '0']	67.0	937.0	jp	"ひら
めい
た！"	129	72	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-10	3		Doraemon_Long_Stories	800	1271	8					
4	0	4	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	25.0	155.0	en	AGAIN!	105	31	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-10	0	105.0	Doraemon_Long_Stories	800	1271	8					
5	1	5	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	635.0	667.0	en	IT FELL TO THE BACK GARDEN!	94	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-10	1	94.0	Doraemon_Long_Stories	800	1271	8					
6	2	6	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	364.0	937.0	en	THIS ONE IS DIFFERENT FROM BEFORE...	149	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-10	2	149.0	Doraemon_Long_Stories	800	1271	8					
7	3	7	 hl-comic2, sans-serif	25.0	[' 0', '0', '0']	46.0	952.0	en	I GET IT!	177	44	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-10	3	177.0	Doraemon_Long_Stories	800	1271	8					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	64.0	473.0	jp	"そうか！
これは
どこかへ
信
しん
号
ごう
を
送
おく
って
部
ぶ
品
ひん
を
集
あつ
める
装
そう
置
ち
だった
のか"	332	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	0		Doraemon_Long_Stories	800	1299	9					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	90.0	754.0	jp	"なんのかんの
いいながらも
ぼくのために
………"	120	138	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	1		Doraemon_Long_Stories	800	1299	9					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	451.0	927.0	jp	"さっそく
作
つく
ろう！"	76	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	2		Doraemon_Long_Stories	800	1299	9					
3	3	3	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	240.0	919.0	jp	"今
いま
の
音
おと
なあに"	113	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	3		Doraemon_Long_Stories	800	1299	9					
4	4	4	 yasashisa-antique, sans-serif	30.0	[' 0', '0', '0']	648.0	758.0	jp	"ドラえ
もんだ"	90	102	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	4		Doraemon_Long_Stories	800	1299	9					
5	0	5	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	89.0	488.0	en	SO THIS BALL WILL SEND A SIGNAL FOR THE OTHER PARTS TO COME HERE, HUH?	284	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	0	284.0	Doraemon_Long_Stories	800	1299	9					
6	1	6	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	439.0	934.0	en	I'LL ASSEMBLE IT SOON!!	116	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	2	116.0	Doraemon_Long_Stories	800	1299	9					
7	2	7	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	227.0	922.0	en	WHAT WAS THAT SOUND JUST NOW?	136	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	3	136.0	Doraemon_Long_Stories	800	1299	9					
8	3	8	 hl-comic2, sans-serif	25.0	[' 0', '0', '0']	611.0	780.0	en	IT MUST BE DORAEMON!!	150	76	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	4	150.0	Doraemon_Long_Stories	800	1299	9					
9	4	9	 hl-comic2, sans-serif	25.0	[' 0', '0', '0']	72.0	778.0	en	HE DID THIS ALL FOR ME...	168	76	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-11	1	168.0	Doraemon_Long_Stories	800	1299	9					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	535.0	137.0	jp	"地
じ
震
しん
で
しょ"	76	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	0		Doraemon_Long_Stories	800	1261	10					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	469.0	206.0	jp	"いちいち
気
き
にしな
さんな"	103	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	1		Doraemon_Long_Stories	800	1261	10					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	133.0	138.0	jp	"まだ
帰
かえ
って
いない"	103	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	2		Doraemon_Long_Stories	800	1261	10					
3	3	3	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	658.0	409.0	jp	"おそい
なぁ"	66	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	3		Doraemon_Long_Stories	800	1261	10					
4	4	4	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	503.0	401.0	jp	"北
ほっ
極
きょく
なんかで
なにしてるん
だろう"	130	138	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	4		Doraemon_Long_Stories	800	1261	10					
5	5	5	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	392.0	396.0	jp	"ドラえもんの
ことだから"	66	138	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	5		Doraemon_Long_Stories	800	1261	10					
6	6	6	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	129.0	399.0	jp	"まさか
道
みち
に
まよったり
白
しろ
クマに
おっかけ
られたり
なんてことは
ないと
思
おも
う
けど……"	258	138	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	6		Doraemon_Long_Stories	800	1261	10					
7	7	7	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	462.0	925.0	jp	"道
みち
に
まよって
白
しろ
クマに
おっかけ
られて
も〜
さんざん！
ハクション"	248	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	7		Doraemon_Long_Stories	800	1261	10					
8	8	8	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	321.0	935.0	jp	"じゃ
これ
……"	93	54	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	8		Doraemon_Long_Stories	800	1261	10					
9	9	9	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	110.0	925.0	jp	"ドラえ
もん
じゃない
の？"	120	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	9		Doraemon_Long_Stories	800	1261	10					
10	0	10	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	475.0	218.0	en	DON'T BE SO FUSSY!	81	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	1	81.0	Doraemon_Long_Stories	800	1261	10					
11	1	11	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	128.0	146.0	en	HE'S NOT HOME YET	112	50	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	2	112.0	Doraemon_Long_Stories	800	1261	10					
12	2	12	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	649.0	414.0	en	HE'S SO SLOW	80	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	3	80.0	Doraemon_Long_Stories	800	1261	10					
13	3	13	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	499.0	396.0	en	WHAT IS HE DOING IN THE NORTH POLE ANYWAY?	125	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	4	125.0	Doraemon_Long_Stories	800	1261	10					
14	4	14	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	385.0	429.0	en	DON'T TELL ME	73	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	5	73.0	Doraemon_Long_Stories	800	1261	10					
15	5	15	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	155.0	423.0	en	HE GETS LOST AND IS CHASED BY A POLAR BEAR	181	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	6	181.0	Doraemon_Long_Stories	800	1261	10					
16	6	16	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	479.0	940.0	en	I WAS LOST AND CHASED BY THE POLAR BEAR ON THE WAY HOME! ACHOO!	201	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	7	201.0	Doraemon_Long_Stories	800	1261	10					
17	7	17	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	341.0	930.0	en	BY THE WAY	63	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	8	63.0	Doraemon_Long_Stories	800	1261	10					
18	8	18	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	107.0	939.0	en	THIS IS FROM YOU, RIGHT?	137	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	9	137.0	Doraemon_Long_Stories	800	1261	10					
19	9	19	 anime-ace, sans-serif	13.0	[' 0', '0', '0']	514.0	136.0	en	IT WAS PROBABLY AN EARTH-QUAKE	113	76	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-12	0	113.0	Doraemon_Long_Stories	800	1261	10					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	650.0	96.0	jp	"しらな
いよ
こんなの"	93	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-13	0		Doraemon_Long_Stories	800	1292	11					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	433.0	96.0	jp	"えっ
じゃ
だれが
……"	120	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-13	1		Doraemon_Long_Stories	800	1292	11					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	613.0	366.0	jp	"新
あたら
しい
部
ぶ
品
ひん
が
とどい
たんだ"	167	86	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-13	2		Doraemon_Long_Stories	800	1292	11					
3	0	3	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	647.0	97.0	en	I DON'T KNOW ANYTHING ABOUT IT	110	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-13	0	110.0	Doraemon_Long_Stories	800	1292	11					
4	1	4	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	447.0	102.0	en	REALLY? IF SO, WHO IS...	96	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-13	1	96.0	Doraemon_Long_Stories	800	1292	11					
5	2	5	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	600.0	369.0	en	THE OTHER PART IS ABOUT TO COME	163	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-13	2	163.0	Doraemon_Long_Stories	800	1292	11					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	672.0	248.0	jp	"ももの
部
ぶ
分
ぶん
だよ"	76	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	0		Doraemon_Long_Stories	800	1294	12					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	430.0	150.0	jp	"部
へ
屋
や
へ
運
はこ
び
たいん
だけど"	140	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	1		Doraemon_Long_Stories	800	1294	12					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	292.0	145.0	jp	"「かるがる
手袋
てぶくろ
」"	76	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	2		Doraemon_Long_Stories	800	1294	12					
3	3	3	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	574.0	827.0	jp	"持
も
ち
主
ぬし
に
返
かえ
したほうが
いいんじゃ
ない？"	140	138	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	3		Doraemon_Long_Stories	800	1294	12					
4	4	4	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	236.0	743.0	jp	"持
も
ち
主
ぬし
って
だれよ？"	103	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	4		Doraemon_Long_Stories	800	1294	12					
5	5	5	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	118.0	813.0	jp	"北
ほっ
極
きょく
の
サンタ
クロース？"	103	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	5		Doraemon_Long_Stories	800	1294	12					
6	0	6	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	657.0	241.0	en	THIS MUST BE THE THIGH PART	100	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	0	100.0	Doraemon_Long_Stories	800	1294	12					
7	1	7	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	431.0	149.0	en	WE HAVE TO BRING THIS TO OUR ROOM	131	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	1	131.0	Doraemon_Long_Stories	800	1294	12					
8	2	8	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	286.0	152.0	en	"""AN EASY CARRY GLOVES"""	90	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	2	90.0	Doraemon_Long_Stories	800	1294	12					
9	3	9	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	578.0	847.0	en	SHOULDN'T WE RETURN THIS TO ITS OWNER?	133	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	3	133.0	Doraemon_Long_Stories	800	1294	12					
10	4	10	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	241.0	750.0	en	"WHO IS THE OWNER
!?"	103	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	4	103.0	Doraemon_Long_Stories	800	1294	12					
11	5	11	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	114.0	845.0	en	SANTA CLAUSE?	108	50	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-14	5	108.0	Doraemon_Long_Stories	800	1294	12					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	642.0	114.0	jp	"交
こう
番
ばん
へ
とどける
とか…"	103	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	0		Doraemon_Long_Stories	800	1301	13					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	457.0	106.0	jp	"どういって？
北
ほっ
極
きょく
で
巨
きょ
大
だい
ロボットを
ひろいまし
たってか？"	157	138	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	1		Doraemon_Long_Stories	800	1301	13					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	348.0	115.0	jp	"ぼくん
だい！"	66	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	2		Doraemon_Long_Stories	800	1301	13					
3	3	3	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	44.0	117.0	jp	"神
かみ
さまが
さずけて
くださった
んだい"	157	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	3		Doraemon_Long_Stories	800	1301	13					
4	4	4	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	579.0	369.0	jp	"それに
しても…
どこで
組
く
み
立
た
てろか
……"	167	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	4		Doraemon_Long_Stories	800	1301	13					
5	5	5	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	484.0	366.0	jp	"庭
にわ
で
いいじゃん"	76	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	5		Doraemon_Long_Stories	800	1301	13					
6	6	6	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	324.0	377.0	jp	"ママが
おこるよ
洗
せん
たく
物
もの
が
ほせないって"	130	138	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	6		Doraemon_Long_Stories	800	1301	13					
7	7	7	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	37.0	382.0	jp	"洗
せん
たく
なんて…
よけいな
こと
しな
けりゃ
いいのに
………"	238	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	7		Doraemon_Long_Stories	800	1301	13					
8	8	8	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	533.0	647.0	jp	"大
おお
きすぎる
から
いけないん
だ
スモール
ライトで
……"	211	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	8		Doraemon_Long_Stories	800	1301	13					
9	9	9	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	335.0	649.0	jp	"だめ〜
でっかい
から
いいん
だよ"	147	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	9		Doraemon_Long_Stories	800	1301	13					
10	10	10	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	158.0	653.0	jp	"なに
いってん
だ！"	93	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	10		Doraemon_Long_Stories	800	1301	13					
11	11	11	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	654.0	914.0	jp	"かりに
完
かん
成
せい
した
として"	103	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	11		Doraemon_Long_Stories	800	1301	13					
12	12	12	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	428.0	923.0	jp	"町
まち
の
中
なか
を
こんなのが
歩
ある
きまわっ
たら……
さぞ
近
きん
所
じょ
めいわく…"	204	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	12		Doraemon_Long_Stories	800	1301	13					
13	13	13	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	297.0	924.0	jp	"いやなこと
ばっかり
いう！"	93	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	13		Doraemon_Long_Stories	800	1301	13					
14	14	14	 yasashisa-antique, sans-serif	50.0	[' 0', '0', '0']	52.0	923.0	jp	そうだ！	212	77	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	14	212.0	Doraemon_Long_Stories	800	1301	13	 normal	 0px	 center	 initial	 initial
15	0	15	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	644.0	99.0	en	WE CAN BRING IT TO THE POLICE STATION	112	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	0	112.0	Doraemon_Long_Stories	800	1301	13					
16	1	16	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	450.0	103.0	en	WHAT WILL YOU TELL THEM ABOUT IT? SOMEBODY LOST HIS GIANT ROBOT BACK IN THE NORTH POLE?	195	126	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	1	195.0	Doraemon_Long_Stories	800	1301	13					
17	2	17	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	589.0	373.0	en	IF YOU SAY SO, WHERE DO YOU WANNA TO PUT THIS THING THEN?	154	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	4	154.0	Doraemon_Long_Stories	800	1301	13					
18	3	18	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	35.0	384.0	en	WHY DOES SHE HAVE TO DO THE LAUNDRY? THAT'S NOT IMPORTANT...	253	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	7	253.0	Doraemon_Long_Stories	800	1301	13					
19	4	19	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	528.0	648.0	en	SINCE WE DON'T HAVE A PLACE TO PUT HIM, WHY DON'T WE USE THE SMALL LIGHT AND MAKE HIM SMALL?	222	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	8	222.0	Doraemon_Long_Stories	800	1301	13					
20	5	20	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	352.0	644.0	en	WHAT'S THE POINT THEN? I WANT A BIG ROBOT!	150	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	9	150.0	Doraemon_Long_Stories	800	1301	13					
21	6	21	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	134.0	661.0	en	DON'T YOU UNDERSTAND THAT!?	131	69	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	10	131.0	Doraemon_Long_Stories	800	1301	13					
22	7	22	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	651.0	924.0	en	BUT HOW WILL WE FINISH IT?	104	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	11	104.0	Doraemon_Long_Stories	800	1301	13					
23	8	23	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	450.0	938.0	en	IT'D BECOME A PROBLEM IF WE DO IT INSIDE THE HOUSE	162	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	12	162.0	Doraemon_Long_Stories	800	1301	13					
24	9	24	 anime-ace, sans-serif	15.0	[' 0', '0', '0']	284.0	931.0	en	OF COURSE WE WON'T BE MAKING IT INSIDE!!	123	88	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	13	123.0	Doraemon_Long_Stories	800	1301	13					
25	10	25	 hl-comic2, sans-serif	25.0	[' 0', '0', '0']	60.0	929.0	en	THAT'S RIGHT!	166	76	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	14	166.0	Doraemon_Long_Stories	800	1301	13					
26	11	26	 hl-comic2, sans-serif	20.0	[' 0', '0', '0']	328.0	116.0	en	THIS IS MINE!	95	64	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	2	95.0	Doraemon_Long_Stories	800	1301	13					
27	12	27	 hl-comic2, sans-serif	20.0	[' 0', '0', '0']	30.0	111.0	en	I FOUND IT MYSELF, SO THIS IS MINE	152	90	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	3	152.0	Doraemon_Long_Stories	800	1301	13					
28	13	28	 anime-ace, sans-serif	13.0	[' 0', '0', '0']	473.0	385.0	en	WE CAN PUT IT AT THE BACK GARDEN	93	76	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	5	93.0	Doraemon_Long_Stories	800	1301	13					
29	14	29	 anime-ace, sans-serif	13.0	[' 0', '0', '0']	311.0	388.0	en	MAMA WILL BE ANGRY FOR SURE. SHE USES THE BACK GARDEN TO DRY THE LAUNDRY, DOESN'T SHE?	159	108	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-15	6	159.0	Doraemon_Long_Stories	800	1301	13					
0	0	0	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	611.0	145.0	jp	"ずっと
前
まえ
鏡
かがみ
の
中
なか
の
世
せ
界
かい
へ
いったろ"	150	107	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-16	0		Doraemon_Long_Stories	800	1281	14					
1	1	1	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	423.0	148.0	jp	"こちらの
世
せ
界
かい
と
そっくりで
だ〜れも
いない
町
まち"	167	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-16	1		Doraemon_Long_Stories	800	1281	14					
2	2	2	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	69.0	146.0	jp	"それ
それ！"	66	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-16	2		Doraemon_Long_Stories	800	1281	14					
3	3	3	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	540.0	410.0	jp	"あそこなら
なにを
しても
だれにも
めいわくが
かから
ない"	201	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-16	3		Doraemon_Long_Stories	800	1281	14					
4	4	4	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	437.0	477.0	jp	"しかし
なあ
……"	93	75	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-16	4		Doraemon_Long_Stories	800	1281	14					
5	5	5	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	215.0	408.0	jp	"ぼくらは
いいけど
ロボットが
この
小
ちい
さな
鏡
かがみ
を
通
とお
れる
か……"	194	128	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-16	5		Doraemon_Long_Stories	800	1281	14					
6	6	6	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	690.0	676.0	jp	"もう
いい"	66	54	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-16	6		Doraemon_Long_Stories	800	1281	14					
7	7	7	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	419.0	673.0	jp	"ぼく
なんかが
巨
きょ
大
だい
ロボ
ットを
ほしがる
のが
まちがい
だったんだ"	238	117	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-16	7		Doraemon_Long_Stories	800	1281	14					
8	8	8	 yasashisa-antique, sans-serif	21.0	[' 0', '0', '0']	111.0	668.0	jp	"ま
道
みち
は
ないでも
ない"	130	96	https://bilingualmanga.com//manga/doraemon-long-stories/chapter-1/1-16	8		Doraemon_Long_Stories	800	1281	14					
